text,translated,processed
"ASN di Serang Cabuli Anak Tiri, 1,5 Tahun Kabur ke Kalimantan-Lampung","ASN di Serang Cabuli Anak Tiri, 1,5 Tahun Kabur ke Kalimantan-Lampung",asn serang cabul anak tiri 1 5 tahun kabur kalimantan lampung
"H-1 Lebaran, Okupansi Pemudik Kereta di Stasiun Pasar Senen Capai 103 Persen","H-1 Lebaran, Okupansi Pemudik Kereta di Stasiun Pasar Senen Capai 103 Persen",h 1 lebaran okupansi mudik kereta stasiun pasar senen capai 103 persen
Prabowo Bahas Pengembangan SDM dan STEM dalam Rapat di Kertanegara,Prabowo Bahas Pengembangan SDM dan STEM dalam Rapat di Kertanegara,prabowo bahas kembang sdm stem rapat kertanegara
"Gerbang SDN Utan Jaya Depok Disegel Pemilik Lahan, Siswa Belajar di Lapangan","Gerbang SDN Utan Jaya Depok Disegel Pemilik Lahan, Siswa Belajar di Lapangan",gerbang sdn utan jaya depok segel milik lahan siswa ajar lapang
Ini Kata Peneliti BRIN soal Pentingnya Pelestarian Motif Megalitik Tutari Papua,Ini Kata Peneliti BRIN soal Pentingnya Pelestarian Motif Megalitik Tutari Papua,kata teliti brin soal penting lestari motif megalitik tutari papua
Prabowo Masih Mempertimbangkan Hadir di Sidang Umum PBB,Prabowo Masih Mempertimbangkan Hadir di Sidang Umum PBB,prabowo timbang hadir sidang umum pbb
Pimpinan DPR: Komitmen Prabowo di Hari Buruh Angin Segar Bagi Pekerja,Pimpinan DPR: Komitmen Prabowo di Hari Buruh Angin Segar Bagi Pekerja,pimpin dpr komitmen prabowo hari buruh angin segar kerja
DPR Bakal Gelar Rapat Evaluasi untuk Respons Tuntutan 17+8,DPR Bakal Gelar Rapat Evaluasi untuk Respons Tuntutan 17+8,dpr bakal gelar rapat evaluasi respons tuntut 17 8
"Selain Cabuli Anak di Bawah Umur, Eks Kapolres Ngada Terbukti Lakukan Perzinaan","Selain Cabuli Anak di Bawah Umur, Eks Kapolres Ngada Terbukti Lakukan Perzinaan",cabul anak bawah umur eks kapolres ngada bukti laku zina
"Survei Alvara: Elektabilitas Pramono-Rano 49,0 Persen, RK-Suswono 44,5 Persen, Dharma-Kun 1,9 Persen","Survei Alvara: Elektabilitas Pramono-Rano 49,0 Persen, RK-Suswono 44,5 Persen, Dharma-Kun 1,9 Persen",survei alvara elektabilitas pramono rano 49 0 persen rk suswono 44 5 persen dharma kun 1 9 persen
"5 Bulan Ditutup Imbas Longsor, Akses Motor di Jalan Batu Tulis Bogor Dibuka Besok","5 Bulan Ditutup Imbas Longsor, Akses Motor di Jalan Batu Tulis Bogor Dibuka Besok",5 bulan tutup imbas longsor akses motor jalan batu tulis bogor buka besok
Pemkab Banyuwangi Gaet Austria & UEA Perluas Pengolahan Sampah Sirkular,Pemkab Banyuwangi Gaet Austria & UEA Perluas Pengolahan Sampah Sirkular,pemkab banyuwangi gaet austria uea luas olah sampah sirkular
Warga Panik Selamatkan Barang-Kendaraan dari Kebakaran di Lenteng Agung,Warga Panik Selamatkan Barang-Kendaraan dari Kebakaran di Lenteng Agung,warga panik selamat barang kendara bakar lenteng agung
Skenario Lanjutan Pemangkasan Anggaran Rp 750 Triliun,Skenario Lanjutan Pemangkasan Anggaran Rp 750 Triliun,skenario lanjut mangkas anggar rp 750 triliun
"Komisi II Vs Baleg DPR Rebutan Revisi UU Pemilu, Kenapa?","Komisi II Vs Baleg DPR Rebutan Revisi UU Pemilu, Kenapa?",komisi ii vs baleg dpr rebut revisi uu milu
Dharma Pongrekun Mau Bangun Rusunawa di Atas 151 Pasar Jaya dan Sekolah Negeri,Dharma Pongrekun Mau Bangun Rusunawa di Atas 151 Pasar Jaya dan Sekolah Negeri,dharma pongrekun mau bangun rusunawa atas 151 pasar jaya sekolah negeri
"KPU Bakal Konsultasi ke DPR 26 Agustus 2024, Draf Perubahan PKPU Sudah Dikirim","KPU Bakal Konsultasi ke DPR 26 Agustus 2024, Draf Perubahan PKPU Sudah Dikirim",kpu bakal konsultasi dpr 26 agustus 2024 draf ubah pkpu kirim
Perusahaan dari Qatar Mulai Bangun Hunian untuk Program 3 Juta Rumah,Perusahaan dari Qatar Mulai Bangun Hunian untuk Program 3 Juta Rumah,usaha qatar mulai bangun huni program 3 juta rumah
Saat Dedi Mulyadi Cari Kades yang Marah dalam Pembongkaran Bangunan Liar di Tambun,Saat Dedi Mulyadi Cari Kades yang Marah dalam Pembongkaran Bangunan Liar di Tambun,dedi mulyadi cari kades marah bongkar bangun liar tambun
Peserta Antusias Ikuti Harris Sentul City Fun Run 2025,Peserta Antusias Ikuti Harris Sentul City Fun Run 2025,serta antusias ikut harris sentul city fun run 2025
Mengapa Timnas Spanyol Bisa Kian Dominan di Sepak Bola Dunia,Mengapa Timnas Spanyol Bisa Kian Dominan di Sepak Bola Dunia,timnas spanyol kian dominan sepak bola dunia
"Masuki Masa Tenang, Atang Copot Sendiri APK yang Terpasang Saat Kampanye Pilkada Kota Bogor","Masuki Masa Tenang, Atang Copot Sendiri APK yang Terpasang Saat Kampanye Pilkada Kota Bogor",masuk masa tenang atang copot sendiri apk pasang kampanye pilkada kota bogor
Bawaslu Kota Bogor Tangani 7 Kasus Dugaan Pelanggaran Pilkada 2024,Bawaslu Kota Bogor Tangani 7 Kasus Dugaan Pelanggaran Pilkada 2024,bawaslu kota bogor tangan 7 kasus duga langgar pilkada 2024
4 Fakta Sindikat Penipu Tukar Uang di Jakarta Sengaja Incar Lansia,4 Fakta Sindikat Penipu Tukar Uang di Jakarta Sengaja Incar Lansia,4 fakta sindikat tipu tukar uang jakarta sengaja incar lansia
"Marak Peretasan Situs untuk Promosi Judi Online, Apa Kata Pengamat?","Marak Peretasan Situs untuk Promosi Judi Online, Apa Kata Pengamat?",marak retas situs promosi judi online apa kata amat
Panca Darmansyah Terdakwa Pembunuhan 4 Anak di Jagakarsa Jalani Sidang Hari Ini,Panca Darmansyah Terdakwa Pembunuhan 4 Anak di Jagakarsa Jalani Sidang Hari Ini,panca darmansyah dakwa bunuh 4 anak jagakarsa jalan sidang hari
"Pelajar SMP Dianiaya Saat Main Skateboard, Wawalkot: Depok Kota Ramah Anak, Tak Bisa Ditoleransi","Pelajar SMP Dianiaya Saat Main Skateboard, Wawalkot: Depok Kota Ramah Anak, Tak Bisa Ditoleransi",ajar smp aniaya main skateboard wawalkot depok kota ramah anak tak toleransi
"0,005 Persen Kasus Keracunan MBG, Celios: Perbaiki, Bukan Klaim Sukses","0,005 Persen Kasus Keracunan MBG, Celios: Perbaiki, Bukan Klaim Sukses",0 005 persen kasus racun mbg celios baik bukan klaim sukses
"Jelang Natal 2024, KPK Ingatkan ASN dan Pejabat Tolak Gratifikasi","Jelang Natal 2024, KPK Ingatkan ASN dan Pejabat Tolak Gratifikasi",jelang natal 2024 kpk ingat asn jabat tolak gratifikasi
"Soal Gerakan Coblos 3 Paslon Pilkada Jakarta, Suswono: Yang Rugi Rakyat Sendiri","Soal Gerakan Coblos 3 Paslon Pilkada Jakarta, Suswono: Yang Rugi Rakyat Sendiri",soal gera coblos 3 paslon pilkada jakarta suswono rugi rakyat sendiri
Prabowo Kenang Prajurit Ottoman Bantu Perjuangan Kemerdekaan RI: Sampai Hari Ini Masih Diceritakan,Prabowo Kenang Prajurit Ottoman Bantu Perjuangan Kemerdekaan RI: Sampai Hari Ini Masih Diceritakan,prabowo kenang prajurit ottoman bantu juang merdeka ri hari cerita
Mayat Wanita Tanpa Busana yang Ditemukan di Sungai Citarum Bekasi Diotopsi,Mayat Wanita Tanpa Busana yang Ditemukan di Sungai Citarum Bekasi Diotopsi,mayat wanita busana temu sungai citarum bekas diotopsi
"PBNU Tetapkan Awal Puasa 2025 pada Sabtu 1 Maret, Sama dengan Pemerintah dan Muhammadiyah","PBNU Tetapkan Awal Puasa 2025 pada Sabtu 1 Maret, Sama dengan Pemerintah dan Muhammadiyah",pbnu tetap awal puasa 2025 sabtu 1 maret sama perintah muhammadiyah
AJI Jakarta Kecam Pencabutan Akses Peliputan Jurnalis CNN Indonesia,AJI Jakarta Kecam Pencabutan Akses Peliputan Jurnalis CNN Indonesia,aji jakarta kecam cabut akses liput jurnalis cnn indonesia
Pembunuh Ibu dan Anak dalam Toren di Tambora Ditangkap di Banyumas,Pembunuh Ibu dan Anak dalam Toren di Tambora Ditangkap di Banyumas,bunuh ibu anak toren tambora tangkap banyumas
Alasan Film Air Mata di Ujung Sajadah 2 Syuting di Solo,Alasan Film Air Mata di Ujung Sajadah 2 Syuting di Solo,alas film air mata ujung sajadah 2 syuting solo
"Manchester United Ditahan Real Sociedad 1-1 di Liga Europa, Ruben Amorim Sampaikan 6 Catatan Penting","Manchester United Ditahan Real Sociedad 1-1 di Liga Europa, Ruben Amorim Sampaikan 6 Catatan Penting",manchester united tahan real sociedad 1 1 liga europa ruben amorim sampai 6 catat penting
BMKG: Cuaca Hujan Merata di Jabodetabek Masih Akan Bertahan Beberapa Hari,BMKG: Cuaca Hujan Merata di Jabodetabek Masih Akan Bertahan Beberapa Hari,bmkg cuaca hujan rata jabodetabek tahan beberapa hari
Thorcon Power Indonesia Menolak Disamakan dengan Perusahaan Tambang,Thorcon Power Indonesia Menolak Disamakan dengan Perusahaan Tambang,thorcon power indonesia tolak sama usaha tambang
Hari Jadi Surabaya ke-732: Lokasi Kemenangan Raden Wijaya atas Mongol dan Ujung Galuh yang Masih Diperdebatkan,Hari Jadi Surabaya ke-732: Lokasi Kemenangan Raden Wijaya atas Mongol dan Ujung Galuh yang Masih Diperdebatkan,hari jadi surabaya 732 lokasi menang raden wijaya atas mongol ujung galuh debat
Kejaksaan Tinggi Kalimantan Timur Tetapkan Tersangka Korupsi Dana Hibah DBON,Kejaksaan Tinggi Kalimantan Timur Tetapkan Tersangka Korupsi Dana Hibah DBON,jaksa tinggi kalimantan timur tetap sangka korupsi dana hibah dbon
Jusuf Kalla Bagi Petuah ke Bahlil Caranya Dulu Lakukan Konversi Minyak Tanah ke Gas Elpiji,Jusuf Kalla Bagi Petuah ke Bahlil Caranya Dulu Lakukan Konversi Minyak Tanah ke Gas Elpiji,jusuf kalla petuah bahlil cara dulu laku konversi minyak tanah gas elpiji
"Paradoks Fiskal: Besar Anggaran, Minim Dampak","Paradoks Fiskal: Besar Anggaran, Minim Dampak",paradoks fiskal besar anggar minim dampak
Eddy Soeparno Apresiasi 100 Hari Kinerja Pemerintahan Presiden Prabowo,Eddy Soeparno Apresiasi 100 Hari Kinerja Pemerintahan Presiden Prabowo,eddy soeparno apresiasi 100 hari kerja perintah presiden prabowo
KPK: Gaji Nurul Ghufron Dipotong 20 Persen karena Langgar Etik,KPK: Gaji Nurul Ghufron Dipotong 20 Persen karena Langgar Etik,kpk gaji nurul ghufron potong 20 persen langgar etik
Kata Menteri PU Soal Kegagalan Konstruksi di Ponpes Al Khoziny Sidoarjo,Kata Menteri PU Soal Kegagalan Konstruksi di Ponpes Al Khoziny Sidoarjo,kata menteri pu soal gagal konstruksi ponpes al khoziny sidoarjo
"Nikel Indonesia, Jalan Terjal Menuju Raja EV Dunia","Nikel Indonesia, Jalan Terjal Menuju Raja EV Dunia",nikel indonesia jalan terjal tuju raja ev dunia
Eks Ketua PN Surabaya Dijerat Pasal Gratifikasi Kasus Bebasnya Ronald Tannur,Eks Ketua PN Surabaya Dijerat Pasal Gratifikasi Kasus Bebasnya Ronald Tannur,eks ketua pn surabaya jerat pasal gratifikasi kasus bebas ronald tannur
Polisi Akui Masih Kekurangan Saksi dalam Dugaan Pelecehan Eks Rektor UP,Polisi Akui Masih Kekurangan Saksi dalam Dugaan Pelecehan Eks Rektor UP,polisi aku kurang saksi duga leceh eks rektor up
"Pimpinan KPK Jilid 5 Segera Berakhir, Puluhan Tersangka Masih Belum Ditahan","Pimpinan KPK Jilid 5 Segera Berakhir, Puluhan Tersangka Masih Belum Ditahan",pimpin kpk jilid 5 segera akhir puluh sangka tahan
Lumpur Sungai dan Waduk Jakarta Bakal Dikeruk hingga Agustus 2025 buat Cegah Banjir,Lumpur Sungai dan Waduk Jakarta Bakal Dikeruk hingga Agustus 2025 buat Cegah Banjir,lumpur sungai waduk jakarta bakal keruk hingga agustus 2025 buat cegah banjir
"Datangi Markas Partai Buruh, Anies Sampaikan Terima Kasih Telah Kawal Putusan MK","Datangi Markas Partai Buruh, Anies Sampaikan Terima Kasih Telah Kawal Putusan MK",datang markas partai buruh anies sampai terima kasih kawal putus mk
"Harga Bitcoin Tembus Rp 2 Miliar, Pelaku Sebut Pasar Kripto Bergairah","Harga Bitcoin Tembus Rp 2 Miliar, Pelaku Sebut Pasar Kripto Bergairah",harga bitcoin tembus rp 2 miliar laku sebut pasar kripto gairah
"Gempa M 6,3 Guncang Bogota Kolombia, Orang-orang Berhamburan","Gempa M 6,3 Guncang Bogota Kolombia, Orang-orang Berhamburan",gempa m 6 3 guncang bogota kolombia orang orang hambur
Jejaring Ekonomi Sirkular Pesantren,Jejaring Ekonomi Sirkular Pesantren,jejaring ekonomi sirkular pesantren
"PWI Sepakat Akhiri Konflik Internal, Bakal Gelar Kongres Persatuan pada Agustus 2025","PWI Sepakat Akhiri Konflik Internal, Bakal Gelar Kongres Persatuan pada Agustus 2025",pwi sepakat akhir konflik internal bakal gelar kongres satu agustus 2025
Calon Plt Ketum Golkar Mengerucut ke Agus Gumiwang Kartasasmita,Calon Plt Ketum Golkar Mengerucut ke Agus Gumiwang Kartasasmita,calon plt tum golkar kerucut agus gumiwang kartasasmita
"Sebelum Pukuli Penabrak Mobilnya hingga Tewas, YTZ dan Korban Cekcok Mulut","Sebelum Pukuli Penabrak Mobilnya hingga Tewas, YTZ dan Korban Cekcok Mulut",pukul tabrak mobil hingga tewas ytz korban cekcok mulut
"Rutin Kirim Vitamin, Prabowo Disebut Ingin Megawati-Jokowi Kuat Pikirkan Negara","Rutin Kirim Vitamin, Prabowo Disebut Ingin Megawati-Jokowi Kuat Pikirkan Negara",rutin kirim vitamin prabowo sebut megawati jokowi kuat pikir negara
Penahanan Nadiem Makarim Dibantarkan karena Operasi Wasir,Penahanan Nadiem Makarim Dibantarkan karena Operasi Wasir,tahan nadiem makarim bantar operasi wasir
Pria yang Bunuh Diri di Apartemen Tangsel Sempat Lambaikan Tangan ke Istri,Pria yang Bunuh Diri di Apartemen Tangsel Sempat Lambaikan Tangan ke Istri,pria bunuh diri apartemen tangsel sempat lambai tangan istri
Tim RIDO Akan Laporkan Bawaslu ke DKPP soal 19 Surat Suara di Jaktim Dicoblos,Tim RIDO Akan Laporkan Bawaslu ke DKPP soal 19 Surat Suara di Jaktim Dicoblos,tim rido lapor bawaslu dkpp soal 19 surat suara jaktim coblos
Hasil Japan Open 2025: Ana / Tiwi Melaju ke Babak 16 Besar,Hasil Japan Open 2025: Ana / Tiwi Melaju ke Babak 16 Besar,hasil japan open 2025 ana tiwi laju babak 16 besar
"Jersey Baru Persija Diluncurkan, Pramono: Prestasi Juga Harus Baru","Jersey Baru Persija Diluncurkan, Pramono: Prestasi Juga Harus Baru",jersey baru persija luncur pramono prestasi baru
"Ada Ormas Bikin Resah, Muhammadiyah: Karena Tak Punya Pekerjaan Layak","Ada Ormas Bikin Resah, Muhammadiyah: Karena Tak Punya Pekerjaan Layak",ormas bikin resah muhammadiyah tak punya kerja layak
Pedagang Ngaku Terpaksa Jual Rokok Ilegal di Palmerah: Daripada Menganggur,Pedagang Ngaku Terpaksa Jual Rokok Ilegal di Palmerah: Daripada Menganggur,dagang ngaku paksa jual rokok ilegal palmerah anggur
Korban Kekerasan Seksual Diduga oleh Dekan Universitas Islam Riau Datangi Mabes Polri,Korban Kekerasan Seksual Diduga oleh Dekan Universitas Islam Riau Datangi Mabes Polri,korban keras seksual duga dekan universitas islam riau datang mabes polri
Puncak Arus Balik via Kereta Api Diprediksi Terjadi 4-6 April,Puncak Arus Balik via Kereta Api Diprediksi Terjadi 4-6 April,puncak arus balik via kereta api prediksi jadi 4 6 april
"Setelah Rapat dengan DPR, Menteri Keuangan Temui Prabowo","Setelah Rapat dengan DPR, Menteri Keuangan Temui Prabowo",rapat dpr menteri uang temu prabowo
Universitas Budi Luhur Bikin Aplikasi Pelaporan Korban Kekerasan di Sekolah,Universitas Budi Luhur Bikin Aplikasi Pelaporan Korban Kekerasan di Sekolah,universitas budi luhur bikin aplikasi lapor korban keras sekolah
Gratis! KLHK Beri Konsultasi Baku Mutu Air Limbah di Festival LIKE 2,Gratis! KLHK Beri Konsultasi Baku Mutu Air Limbah di Festival LIKE 2,gratis klhk beri konsultasi baku mutu air limbah festival like 2
Kementerian PAN RB Tetapkan FWA di Hari Pertama Usai Cuti Lebaran 2025,Kementerian PAN RB Tetapkan FWA di Hari Pertama Usai Cuti Lebaran 2025,menteri pan rb tetap fwa hari pertama usai cuti lebaran 2025
Pengemudi Pajero Acungkan Senpi di Kramat Jati Karena Berselisih dengan Pengemudi Lain,Pengemudi Pajero Acungkan Senpi di Kramat Jati Karena Berselisih dengan Pengemudi Lain,kemudi pajero acung senpi kramat jati selisih kemudi
"Megawati Beri Surat ke Masinton, Peringatkan soal Geopark Kaldera Toba","Megawati Beri Surat ke Masinton, Peringatkan soal Geopark Kaldera Toba",megawati beri surat masinton ingat soal geopark kaldera toba
Pertamina NRE Ekspansi Energi Terbarukan Lewat PLTS Baseload Pertama di Filipina,Pertamina NRE Ekspansi Energi Terbarukan Lewat PLTS Baseload Pertama di Filipina,pertamina nre ekspansi energi baru lewat plts baseload pertama filipina
"Truk Tanah Lindas Anak, Warga Tangerang Mengamuk dan Rusak Puluhan Truk","Truk Tanah Lindas Anak, Warga Tangerang Mengamuk dan Rusak Puluhan Truk",truk tanah lindas anak warga tangerang amuk rusak puluh truk
